Wall time,Step,Value
1495414077.018752,400599,-0.3400000035762787
1495414079.957722,401099,-0.5
1495414082.296243,401499,-0.49000000953674316
1495414082.857778,401599,-0.4000000059604645
1495414084.001349,401799,0.8399999737739563
1495414089.529334,402699,-0.3700000047683716
1495414090.112523,402799,-0.5099999904632568
1495414096.686645,403899,-0.029999999329447746
1495414097.92551,404099,0.9599999785423279
1495414098.566312,404199,-0.4699999988079071
1495414102.743479,404899,-0.3499999940395355
1495414103.910849,405099,1.0
1495414104.470246,405199,-0.3199999928474426
1495414105.060393,405299,-0.25999999046325684
1495414105.666248,405399,-0.44999998807907104
1495414108.144197,405799,-0.41999998688697815
1495414109.305926,405999,-0.41999998688697815
1495414122.177525,408199,-0.4399999976158142
1495414123.936725,408499,-0.44999998807907104
1495414132.220339,409899,-0.2199999988079071
1495414135.190238,410399,-0.25999999046325684
1495414135.785358,410499,1.0
1495414136.961132,410699,-0.36000001430511475
1495414141.751892,411499,-0.3499999940395355
1495414144.648853,411999,-0.25999999046325684
1495414148.785128,412699,-0.36000001430511475
1495414166.188962,415499,-0.5099999904632568
1495414170.869578,416199,-0.3400000035762787
1495414177.680207,417299,0.41999998688697815
1495414180.709886,417799,0.6200000047683716
1495414186.594343,418699,0.75
1495414187.213651,418799,-0.3499999940395355
1495414193.296312,419799,-0.47999998927116394
1495414193.915983,419899,0.5600000023841858
1495414194.616114,419999,-0.11999999731779099
1495414195.713516,420199,-0.38999998569488525
1495414196.775002,420399,0.5299999713897705
1495414197.943314,420599,-0.5
1495414198.504058,420699,1.0
1495414199.202079,420799,-0.41999998688697815
1495414200.690655,420999,-0.4300000071525574
1495414210.679813,422799,-0.20000000298023224
1495414213.374017,423299,-0.46000000834465027
1495414216.041989,423799,-0.5099999904632568
1495414217.702758,424099,0.8500000238418579
1495414219.330886,424399,-0.46000000834465027
1495414222.321354,424899,-0.44999998807907104
1495414228.601314,425999,-0.25999999046325684
1495414233.754246,426899,-0.33000001311302185
1495414235.433818,427199,-0.4699999988079071
1495414235.976875,427299,-0.44999998807907104
1495414240.836781,428199,-0.4000000059604645
1495414244.366909,428799,-0.28999999165534973
1495414253.400077,430299,0.8100000023841858
1495414253.978849,430399,-0.25999999046325684
1495414257.476877,430999,0.6100000143051147
1495414259.997814,431399,-0.4699999988079071
1495414261.853041,431699,-0.41999998688697815
1495414265.780318,432299,-0.4300000071525574
1495414267.14741,432499,0.8799999952316284
1495414272.620368,433399,-0.3700000047683716
1495414275.079238,433799,1.0
1495414278.578355,434399,-0.3400000035762787
1495414281.317429,434899,-0.38999998569488525
1495414284.580108,435499,-0.41999998688697815
1495414286.736174,435899,-0.36000001430511475
1495414289.428857,436399,-0.3700000047683716
1495414293.31926,437099,0.46000000834465027
1495414295.459755,437499,0.7799999713897705
1495414300.467518,438399,-0.23000000417232513
1495414302.102562,438699,-0.25
1495414308.642107,439899,0.49000000953674316
1495414312.421524,440599,1.0
1495414314.044497,440899,-0.30000001192092896
1495414315.138824,441099,-0.7200000286102295
1495414315.75016,441199,0.8399999737739563
1495414317.928876,441599,-0.23000000417232513
1495414318.478103,441699,-0.5799999833106995
1495414319.022486,441799,0.6100000143051147
1495414325.606681,442999,-0.20000000298023224
1495414328.930901,443599,-0.4399999976158142
1495414329.482741,443699,-0.49000000953674316
1495414330.581601,443899,-0.49000000953674316
1495414333.297244,444399,-0.30000001192092896
1495414333.834617,444499,0.4300000071525574
1495414335.530776,444799,-0.5600000023841858
1495414338.80076,445399,0.5699999928474426
1495414340.969296,445799,-0.5
1495414345.105368,446499,-0.3799999952316284
1495414350.525878,447499,-0.36000001430511475
1495414353.809539,448099,-0.3499999940395355
1495414356.061282,448499,0.5799999833106995
1495414357.737045,448799,0.3400000035762787
1495414362.177133,449599,-0.36000001430511475
1495414363.285412,449799,-1.3899999856948853
1495414370.339601,451099,0.6100000143051147
1495414372.510134,451499,-0.5299999713897705
1495414373.056203,451599,0.5799999833106995
1495414383.463876,453499,-0.4699999988079071
1495414384.002579,453599,-0.550000011920929
1495414385.664086,453899,-0.46000000834465027
1495414389.546275,454599,-0.46000000834465027
1495414390.627454,454799,0.8999999761581421
1495414394.975949,455599,0.5799999833106995
1495414396.054513,455799,-0.4699999988079071
1495414396.6025,455899,-0.25
1495414403.591037,457199,-0.4300000071525574
1495414404.653171,457399,-0.2199999988079071
1495414405.186062,457499,-0.3400000035762787
1495414409.992936,458399,-0.699999988079071
1495414411.615931,458699,-0.6800000071525574
1495414412.712804,458899,-0.3400000035762787
1495414417.774261,459799,-0.5199999809265137
1495414419.379042,460099,-0.3700000047683716
1495414420.444442,460299,-0.44999998807907104
1495414421.515738,460499,-0.10000000149011612
1495414428.027238,461699,-0.4399999976158142
1495414437.162536,463399,-0.5099999904632568
1495414440.009182,463899,0.5899999737739563
1495414445.411415,464899,-0.5199999809265137
1495414448.768039,465499,-0.4399999976158142
1495414452.573877,466199,-0.46000000834465027
1495414455.816586,466799,-0.46000000834465027
1495414456.898089,466999,-1.4700000286102295
1495414459.040582,467399,0.5699999928474426
1495414462.824853,468099,-0.33000001311302185
1495414463.364965,468199,-0.75
1495414463.898991,468299,-0.4699999988079071
